fid,type,sub_type,name,source,global_id,label,province,prov_code,district,distr_code,lat,long,data_year,geometry
15,Health Facility,Rural Health Center,Kawambwa Tea Estate RHC,MOH,{1714FBBD-46CF-4BDD-880D-93EB8DAA02B8},Kawambwa Tea Estate RHC,Luapula,104,Kawambwa,104004,-9.7448839999,29.2763549996,2017-2018,"c(29.2763549995836, -9.74488399989662)"
16,Health Facility,Rural Health Post,Kafula RHP,MOH,{19C4620F-F3DD-46DE-B791-9C5889A6CC94},Kafula RHP,Luapula,104,Mansa,104006,-11.3071120004,29.3652560002,2017-2018,"c(29.3652560001643, -11.3071120004184)"
17,Health Facility,Rural Health Center,Mutwenankoko RHC,MOH,{E249B6BD-3610-4BCD-814E-1BF03485AFF6},Mutwenankoko RHC,Luapula,104,Mansa,104006,-10.6960060003,28.9249359996,2017-2018,"c(28.9249359995968, -10.6960060002767)"
18,Health Facility,Rural Health Center,Hachipilika RHC,MOH,{50097AAF-3FCE-480C-80BD-6FCBA6C84A44},Hachipilika RHC,Lusaka,105,Chirundu,105002,-16.0683399997,28.4941289998,2017-2018,"c(28.4941289997536, -16.0683399996912)"
19,Health Facility,Rural Health Post,Chiliabale RHP,MOH,{751CCA64-9C14-4D32-B1D4-4B32ABCB3739},Chiliabale RHP,Lusaka,105,Chongwe,105003,-15.4519699996,28.780125,2017-2018,"c(28.7801249999688, -15.4519699996158)"
20,Health Facility,Rural Health Post,Mri RHP,MOH,{EFF571E2-D0D3-4A66-ACE8-AD744A69DF71},Mri RHP,Lusaka,105,Chongwe,105003,-15.3906540004,28.5885139996,2017-2018,"c(28.5885139996215, -15.3906540003817)"
21,Health Facility,Rural Health Post,Nachitete RHP,MOH,{BE6CB71E-DD2C-4992-A530-8DAF28C05074},Nachitete RHP,Lusaka,105,Kafue,105004,-15.5512189999,28.4815109997,2017-2018,"c(28.4815109997329, -15.5512189998569)"
22,Health Facility,Rural Health Post,Chisakila RHP,MOH,{BED2F80B-30C9-48C7-A21A-326242AA92EB},Chisakila RHP,Lusaka,105,Kafue,105004,-15.9102490001,28.6872749998,2017-2018,"c(28.6872749998414, -15.9102490000913)"
23,Health Facility,Health Post,Kafue East HP,MOH,{03178D46-03DC-4C61-B9B4-FD949CA4FB5F},Kafue East HP,Lusaka,105,Kafue,105004,-15.7648209999,28.1982040003,2017-2018,"c(28.1982040003144, -15.7648209998892)"
24,Health Facility,Rural Health Post,Mtendere RHP,MOH,{B8BE3EB1-21FB-4AFE-B372-B58C6934440F},Mtendere RHP,Lusaka,105,Kafue,105004,-15.7620839996,28.167384,2017-2018,"c(28.1673839999717, -15.7620839995769)"
25,Health Facility,Rural Health Post,Mungu RHP,MOH,{6363FB43-44AD-466F-B154-EA29A0445009},Mungu RHP,Lusaka,105,Kafue,105004,-15.6988629997,28.1208780002,2017-2018,"c(28.1208780002196, -15.6988629997276)"
26,Health Facility,Rural Health Post,Old Kabweza RHP,MOH,{EFE125BC-B61A-44CB-B398-CDB9EBB23FB2},Old Kabweza RHP,Lusaka,105,Kafue,105004,-15.6557999996,28.4980109998,2017-2018,"c(28.4980109998078, -15.6557999995703)"
27,Health Facility,Rural Health Center,Kalengelenge RHC,MOH,{24EB95BC-283D-4F4F-9E1A-0A3BF0D8EB80},Kalengelenge RHC,Northwestern,108,Kalumbila,108010,-11.8108960004,25.6976050002,2017-2018,"c(25.6976050001707, -11.8108960003501)"
28,Health Facility,Rural Health Center,Kyanyika (Zfds W8) RHC,MOH,{C87A01A8-3C32-4866-87D3-38C6B4130AE9},Kyanyika (Zfds W8) RHC,Northwestern,108,Kalumbila,108010,-11.9132560002,25.6847869999,2017-2018,"c(25.6847869999202, -11.9132560001642)"
29,Health Facility,Rural Health Center,Mangala (Zfds W9) RHC,MOH,{4BC8A08C-6824-4FAC-8011-C37DF8FA7573},Mangala (Zfds W9) RHC,Northwestern,108,Kalumbila,108010,-12.0148020002,25.8594510003,2017-2018,"c(25.8594510002635, -12.0148020002121)"
30,Health Facility,Health Center,Solwezi Tt College HC,MOH,{9328902F-3B95-46FE-AE5A-6E4231BA7DDF},Solwezi Tt College HC,Northwestern,108,Solwezi,108008,-12.2036950002,26.4077960002,2017-2018,"c(26.4077960001853, -12.2036950002241)"
31,Health Facility,Rural Health Center,Masuku Mines RHC,MOH,{02E6A5F3-B11F-4736-A083-0DA8B688C93E},Masuku Mines RHC,Southern,109,Choma,109002,-17.2727330002,27.1047440001,2017-2018,"c(27.1047440001356, -17.2727330002277)"
32,Health Facility,Rural Health Center,Nalikwanda Stage Ii RHC,MOH,{49C0B3DB-EB99-4D9E-8E5A-3184C3253218},Nalikwanda Stage Ii RHC,Western,110,Mongu,110007,-15.4829789997,23.6560529999,2017-2018,"c(23.656052999946, -15.4829789996811)"
33,Health Facility,Clinic,Unclassified HF,ZamStats,{656D1475-E895-4087-B0DE-2ED17C1C1986},Unclassified HF,Copperbelt,102,Ndola,102010,-12.8918199998,28.5102996816,2010,"c(28.5102996815851, -12.8918199997931)"
34,Health Facility,Clinic,Unclassified HF,ZamStats,{38905712-4477-46B0-891F-5D8C66C2BE4F},Unclassified HF,Copperbelt,102,Kalulushi,102003,-12.6919699999,28.0960006714,2010,"c(28.0960006713939, -12.6919699999155)"
35,Health Facility,Health Post,Unclassified HP,ZamStats,{CDBF8641-AD44-4F9F-BDC4-157DF67348F7},Unclassified HP,Copperbelt,102,Kalulushi,102003,-12.6962399999,28.0615997316,2010,"c(28.0615997316423, -12.6962399998761)"
36,Health Facility,Health Post,Unclassified HP,ZamStats,{DB4B3103-A872-4643-9E77-76E8D11B692D},Unclassified HP,Copperbelt,102,Chililabombwe,102001,-12.3901999998,27.7633991237,2010,"c(27.7633991236707, -12.3901999998301)"
37,Health Facility,Health Post,Unclassified HP,ZamStats,{5443D3F8-01AB-4A94-9D3F-3816578D7B4F},Unclassified HP,Copperbelt,102,Chililabombwe,102001,-12.2712100002,27.8131999966,2010,"c(27.8131999965826, -12.2712100002413)"
38,Health Facility,Clinic,Unclassified HF,ZamStats,{085233B1-AF85-4257-976E-356E6971F8CA},Unclassified HF,Copperbelt,102,Chililabombwe,102001,-12.2900399998,27.8773994444,2010,"c(27.8773994444289, -12.290039999846)"
39,Health Facility,Health Post,Unclassified HP,ZamStats,{59AAA5E7-2DF2-4B63-BA94-3C046341D6AA},Unclassified HP,Copperbelt,102,Chililabombwe,102001,-12.3509599997,27.9444007877,2010,"c(27.9444007876663, -12.3509599997042)"
40,Health Facility,Health Post,Chikola HP,ZamStats,{91FDF5EE-6326-447F-8C65-596DA99E65A2},Chikola HP,Copperbelt,102,Chililabombwe,102001,-12.31598,27.6380996704,2010,"c(27.6380996703635, -12.3159799999769)"
41,Health Facility,Health Post,Chimf HP,ZamStats,{74D1D70A-4C13-4434-83A0-D8297BF82E2A},Chimf HP,Copperbelt,102,Chililabombwe,102001,-12.3434299996,27.5832996371,2010,"c(27.5832996370686, -12.3434299995948)"
42,Health Facility,Health Post,Unclassified HP,ZamStats,{C79AB094-2E0F-4C46-8B8C-867C22C86FBD},Unclassified HP,Copperbelt,102,Chililabombwe,102001,-12.3702000002,27.6418991091,2010,"c(27.6418991090567, -12.3702000002298)"
43,Health Facility,Health Post,Chifump HP,ZamStats,{B9357C47-8CFF-4FDD-9736-472B398C7139},Chifump HP,Copperbelt,102,Lufwanyama,102006,-13.2223739702,28.1515402901,2010,"c(28.1515402900524, -13.2223739701826)"
44,Health Facility,Health Post,Kasakalabwe HP,ZamStats,{73ABD12A-4E21-4C07-A941-A89B813E3FF2},Kasakalabwe HP,Copperbelt,102,Lufwanyama,102006,-12.8432680298,26.9872322504,2010,"c(26.9872322503681, -12.8432680297957)"
45,Health Facility,Health Post,Unclassified HP,ZamStats,{C5FB8DFE-676C-48CB-807A-D936A1FE9475},Unclassified HP,Copperbelt,102,Lufwanyama,102006,-12.9312270499,27.0464989303,2010,"c(27.0464989302815, -12.9312270498884)"
46,Health Facility,Health Post,Unclassified HP,ZamStats,{3BB688D7-5A62-4152-A427-128953125EC1},Unclassified HP,Copperbelt,102,Lufwanyama,102006,-12.7507386901,27.60234475,2010,"c(27.6023447500103, -12.7507386901384)"
47,Health Facility,Clinic,Lumanto/Mukutuma HF,ZamStats,{DC94FD29-7EEC-462A-A8AB-D51E07AC1E5D},Lumanto/Mukutuma HF,Copperbelt,102,Lufwanyama,102006,-12.97131208,27.8171252396,2010,"c(27.8171252396381, -12.9713120799885)"
48,Health Facility,Health Post,Unclassified HP,ZamStats,{CE7C1E13-73FC-45B3-80A7-9699D939B164},Unclassified HP,Copperbelt,102,Lufwanyama,102006,-12.9859200603,28.12661863,2010,"c(28.1266186300458, -12.9859200602625)"
49,Health Facility,Clinic,Kamipundu HF,ZamStats,{21161B02-9744-4A35-A1F1-629FB969E8D5},Kamipundu HF,Copperbelt,102,Lufwanyama,102006,-13.0190682201,27.9136309497,2010,"c(27.9136309497086, -13.0190682201222)"
50,Health Facility,Clinic,Unclassified HF,ZamStats,{13A85DB9-9991-4F74-9CC7-06C014E180A8},Unclassified HF,Copperbelt,102,Lufwanyama,102006,-12.90405443,27.7486709004,2010,"c(27.7486709004418, -12.9040544299679)"
51,Health Facility,Clinic,Chisaina HF,ZamStats,{C4E7EA96-92B7-46D1-A9D5-8CD695FBF0F5},Chisaina HF,Copperbelt,102,Lufwanyama,102006,-13.0730664503,27.7553868999,2010,"c(27.7553868998856, -13.0730664502564)"
52,Health Facility,Health Post,Unclassified HP,ZamStats,{16FC0FEF-A634-430B-AEC0-39B8F476AE0C},Unclassified HP,Copperbelt,102,Lufwanyama,102006,-12.9373043499,27.3154825003,2010,"c(27.3154825003172, -12.9373043499158)"
53,Health Facility,Health Post,Unclassified HP,ZamStats,{E242426B-85F7-4F8C-8345-9088B271D715},Unclassified HP,Copperbelt,102,Masaiti,102007,-13.2544000396,28.8030497801,2010,"c(28.8030497801233, -13.2544000396301)"
54,Health Facility,Under Five Clinic,Under five Clinic,ZamStats,{D7047F19-6A8A-42E3-A443-E2FBC95770DF},Under five Clinic,Copperbelt,102,Masaiti,102007,-13.4825271996,28.7503141999,2010,"c(28.7503141999404, -13.4825271995705)"
55,Health Facility,Health Post,Unclassified HP,ZamStats,{E184A429-F67C-465B-B78E-CB05326E94FB},Unclassified HP,Copperbelt,102,Masaiti,102007,-13.2428086301,28.7744042901,2010,"c(28.7744042901259, -13.2428086301142)"
56,Health Facility,Health Post,Khazike HP,ZamStats,{35619FA1-FD18-4B30-BF9B-8DAB0AB3F7D2},Khazike HP,Eastern,103,Chadiza,103001,-14.1908223298,32.4087924001,2010,"c(32.4087924001492, -14.1908223297867)"
57,Health Facility,Health Facility,Mushi Primary Heath Care,ZamStats,{B90C7B1C-9AC6-4C04-AFF3-19C2D09EB86F},Mushi Primary Heath Care,Muchinga,106,Chama,106001,-10.6932031597,32.4043394304,2010,"c(32.4043394304204, -10.693203159698)"
58,Health Facility,Health Post,Kamunga HP,ZamStats,{86189380-56A7-40A8-972D-317043C313E9},Kamunga HP,Muchinga,106,Chama,106001,-10.6593535997,32.8580735496,2010,"c(32.8580735495547, -10.6593535996888)"
59,Health Facility,Rural Health Center,Kasenga  RHC,ZamStats,{21B425EA-9D9A-4F26-BCE3-902F2C31AA85},Kasenga  RHC,Eastern,103,Chipangali,103011,-13.4179420397,32.8072471204,2010,"c(32.8072471203584, -13.4179420396933)"
60,Health Facility,Rural Health Center,Chamanda  RHC,ZamStats,{F4648508-3882-4ED2-8479-43BDD48F412C},Chamanda  RHC,Eastern,103,Chipangali,103011,-13.3052285804,32.7396897299,2010,"c(32.7396897298972, -13.3052285804346)"
61,Health Facility,Health Post,Kapatamoyo HP,ZamStats,{38F6309B-3B3D-4917-893E-DE9E17EE90F4},Kapatamoyo HP,Eastern,103,Chipangali,103011,-13.5697864203,32.6626286098,2010,"c(32.6626286098225, -13.569786420307)"
62,Health Facility,Health Facility,Chipata District HF,ZamStats,{301E2EBC-2420-4F54-84B6-4B3B247A5B44},Chipata District HF,Eastern,103,Chipata,103002,-13.6397799204,32.6556399503,2010,"c(32.6556399503235, -13.639779920407)"
63,Health Facility,Health Post,Unclassified HP,ZamStats,{B18A2203-7B6C-4C93-AA10-9D392FF14094},Unclassified HP,Eastern,103,Kasenengwa,103012,-13.5930174502,32.3914848502,2010,"c(32.3914848502457, -13.5930174501951)"
64,Health Facility,Rural Health Center,Antenatal  RHC,ZamStats,{471F3F98-FC28-4F60-BB6D-EEAD45576CDA},Antenatal  RHC,Eastern,103,Petauke,103007,-14.0389912798,31.27628404,2010,"c(31.2762840399765, -14.0389912798237)"
65,Health Facility,Rural Health Post,Rural Health Post,ZamStats,{E6471BA7-CDFF-4042-8ED5-A499F877CB69},Rural Health Post,Eastern,103,Petauke,103007,-14.0085640503,31.2968645403,2010,"c(31.2968645402664, -14.0085640502907)"
66,Health Facility,Rural Health Center,Sandwe  RHC,ZamStats,{1AD99C86-4445-47B9-842A-C448A6D94DD7},Sandwe  RHC,Eastern,103,Lusangazi,103014,-13.7996327,31.5752345899,2010,"c(31.5752345899044, -13.799632699989)"
67,Health Facility,Health Post,Unclassified HP,ZamStats,{A4FB7F77-667D-4CFD-9C95-7DA3E3EFAE31},Unclassified HP,Eastern,103,Petauke,103007,-14.5160533299,31.0768457003,2010,"c(31.0768457002689, -14.5160533298972)"
68,Health Facility,Health Post,Nyimbamwana HP,ZamStats,{EF7A108C-1EE4-4420-8F08-85F70072189E},Nyimbamwana HP,Eastern,103,Petauke,103007,-14.5323030702,31.2318767098,2010,"c(31.2318767098423, -14.5323030702305)"
69,Health Facility,Under Five Clinic,Under Five Clinic,ZamStats,{2A96C51B-FA28-4F56-97B2-C37F73AA97D5},Under Five Clinic,Eastern,103,Sinda,103008,-14.2572749796,31.7828813999,2010,"c(31.7828813998568, -14.2572749795566)"
70,Health Facility,Rural Health Center,Moyo  RHC,ZamStats,{5F4ACA7D-7D05-4CEC-AB2F-9FD6F534C189},Moyo  RHC,Eastern,103,Sinda,103008,-14.3339396398,31.8010470802,2010,"c(31.8010470801587, -14.3339396398025)"
71,Health Facility,Health Post,Kanyunya HP,ZamStats,{DDA8BC0F-A1E7-4C84-A88C-6BB6FF287692},Kanyunya HP,Eastern,103,Lundazi,103004,-12.3283927001,33.3522608399,2010,"c(33.3522608398659, -12.328392700063)"
72,Health Facility,Rural Health Center,Ngonga  RHC,ZamStats,{087077D5-B9B3-43EA-8566-6B16159F57F6},Ngonga  RHC,Eastern,103,Lundazi,103004,-12.5286256304,33.1140447201,2010,"c(33.1140447200878, -12.5286256303685)"
73,Health Affiliated Infrastructure,Compound,Ngonga RHC Comp,ZamStats,{A28FEA0D-8ADA-44FD-8752-1D24EF914AA8},Ngonga RHC Comp,Eastern,103,Lundazi,103004,-12.5289475004,33.1143110201,2010,"c(33.1143110201375, -12.5289475004267)"
74,Health Facility,Rural Health Center,Lusuntha  RHC,ZamStats,{A999C721-3969-4CFA-8949-900BFF38CCE5},Lusuntha  RHC,Eastern,103,Chasefu,103010,-12.2448563902,33.3080211604,2010,"c(33.3080211604482, -12.2448563902102)"
75,Health Facility,Health Post,Underfive HP,ZamStats,{C2AAE673-13FF-4342-A7AA-AF432F1A222C},Underfive HP,Eastern,103,Lumezi,103013,-12.6994577103,32.1254102201,2010,"c(32.1254102201056, -12.6994577103051)"
76,Health Facility,Rural Health Center,RHC,ZamStats,{1CAEC79D-3F61-4988-B43B-B14FB6DE702F},RHC,Eastern,103,Lumezi,103013,-13.0203782302,32.9139107701,2010,"c(32.913910770066, -13.0203782301712)"
77,Health Facility,Health Facility,Unclassified HF,ZamStats,{C8EB9853-6438-4D77-A09B-85892F3FFCBE},Unclassified HF,Eastern,103,Mambwe,103005,-13.1108515703,31.7978299399,2010,"c(31.7978299398999, -13.1108515703436)"
78,Health Facility,Clinic,Unclassified HF,ZamStats,{0F756CDD-2A89-479C-AAF8-44EB38E96BD5},Unclassified HF,Eastern,103,Mambwe,103005,-13.1404562898,31.8530437198,2010,"c(31.8530437197919, -13.1404562898259)"
79,Health Facility,Health Post,Msima HP,ZamStats,{DC1B03C9-2719-4DE1-AD06-AB5971D6A40D},Msima HP,Eastern,103,Nyimba,103006,-14.6388046297,30.9461642101,2010,"c(30.9461642101103, -14.6388046297298)"
80,Health Facility,Health Post,Chaya HP,ZamStats,{AA76C9B4-41B2-42C6-B50C-235150042C20},Chaya HP,Eastern,103,Nyimba,103006,-14.4375194198,30.6324921,2010,"c(30.6324921000304, -14.4375194197854)"
81,Health Facility,Health Post,Kalila HP,ZamStats,{1F6F1218-CF39-4776-A4C0-7AE00333C6E8},Kalila HP,Luapula,104,Chipili,104003,-10.6348697297,29.1332577903,2010,"c(29.1332577903148, -10.6348697296543)"
82,Health Facility,Health Post,Kashiba HP,ZamStats,{287F59FF-6DC0-4D47-AF50-AD1302BB5EF9},Kashiba HP,Luapula,104,Chipili,104003,-10.6276214799,29.0694254098,2010,"c(29.0694254097549, -10.6276214799473)"
83,Health Facility,Health Post,Milulu HP,ZamStats,{81DA3075-4FFB-481E-96F5-938767E02895},Milulu HP,Luapula,104,Chipili,104003,-10.6911541201,29.1490819903,2010,"c(29.1490819903416, -10.6911541200665)"
84,Health Facility,Health Post,Unclassified HP,ZamStats,{3D8328CD-78ED-4860-87AA-4C60B87287C4},Unclassified HP,Luapula,104,Chipili,104003,-10.3412963396,29.4310527303,2010,"c(29.4310527302993, -10.3412963395544)"
85,Health Facility,Health Post,Unclassified HP,ZamStats,{22F70BC8-9E7C-465A-B6D5-9CBEB4711F36},Unclassified HP,Luapula,104,Mwense,104009,-10.6992549801,28.6976412297,2010,"c(28.6976412296591, -10.6992549801332)"
86,Health Facility,Health Post,Unclassified HP,ZamStats,{2F391A87-15C7-4E0D-B13A-783C7BC4191F},Unclassified HP,Luapula,104,Mwense,104009,-10.3974907897,28.6582594496,2010,"c(28.658259449614, -10.3974907896682)"
87,Health Facility,Health Post,Unclassified HP,ZamStats,{838A38AA-3148-4725-8B80-3F96F5AC8D39},Unclassified HP,Luapula,104,Mwense,104009,-10.4202614899,28.6555677697,2010,"c(28.6555677697368, -10.4202614898758)"
88,Health Facility,Under Five Clinic,Under Five Clinic,ZamStats,{E93B08EC-C32B-456D-A086-C62C774C1AF3},Under Five Clinic,Luapula,104,Nchelenge,104010,-9.70614931984,28.7491404003,2010,"c(28.7491404003093, -9.70614931983522)"
89,Health Facility,Health Post,Unclassified HP,ZamStats,{B7E0B6EF-CB91-4182-9173-64EE0030D5E7},Unclassified HP,Luapula,104,Nchelenge,104010,-9.20777057995,28.8220882696,2010,"c(28.822088269558, -9.20777057994826)"
90,Health Facility,Clinic,Unclassified HF,ZamStats,{19CCC66B-2A58-44E4-9633-F53A591942B6},Unclassified HF,Luapula,104,Nchelenge,104010,-9.34521996043,28.7359499701,2010,"c(28.7359499701151, -9.34521996043276)"
91,Health Facility,Health Post,Nailo HP,ZamStats,{82558118-11FE-4756-B259-3E3E0A41440F},Nailo HP,Luapula,104,Nchelenge,104010,-9.31296506029,28.8160556496,2010,"c(28.8160556496485, -9.31296506028923)"
92,Health Facility,Health Post,Bwaya HP,ZamStats,{BED79E29-4E9D-4CBD-8F53-23100A40BF61},Bwaya HP,Luapula,104,Nchelenge,104010,-9.24161997988,28.4331399697,2010,"c(28.4331399697339, -9.24161997987812)"
93,Health Facility,Health Facility,Cpd HF,ZamStats,{12BE7175-3C22-4073-A722-B0E414E2C3AC},Cpd HF,Luapula,104,Nchelenge,104010,-9.17497244972,28.8482952101,2010,"c(28.8482952100559, -9.17497244971872)"
94,Health Facility,Health Post,Kabuta HP,ZamStats,{8D6F120A-A7A1-4C08-8BE0-D9456A3720FD},Kabuta HP,Luapula,104,Nchelenge,104010,-9.17500924008,28.8451993596,2010,"c(28.8451993595629, -9.17500924008431)"
95,Health Facility,Rural Health Center,Kabuta  RHC,ZamStats,{6741E667-3CEC-4B3D-A46A-EC74FF43C6EB},Kabuta  RHC,Luapula,104,Nchelenge,104010,-9.17447044995,28.84797008,2010,"c(28.8479700799553, -9.17447044995123)"
96,Health Facility,Health Post,Chititi HP,ZamStats,{3399EDB9-CDC7-4E87-94A8-0259DC673CB4},Chititi HP,Central,101,Chibombo,101001,-14.7967799999,27.7840300004,2010,"c(27.7840300003842, -14.796779999897)"
97,Health Facility,Health Post,Chabona HP,ZamStats,{CBEBE574-06B6-4311-B449-801D8D486FFD},Chabona HP,Central,101,Chibombo,101001,-14.8542800003,27.9692700001,2010,"c(27.9692700001104, -14.8542800003217)"
98,Health Facility,Clinic,Chimika HF,ZamStats,{A83DF0D8-A22B-48D1-A3D8-37BBF7CC1D89},Chimika HF,Central,101,Luano,101007,-14.7600905104,29.12385455,2010,"c(29.1238545500475, -14.7600905103687)"
99,Health Facility,Clinic,Mobile Clinic,ZamStats,{15822262-8EDD-4CD6-B96A-FBFE7483507E},Mobile Clinic,Central,101,Kapiri Mposhi,101006,-14.6641412702,28.9097851004,2010,"c(28.9097851004021, -14.6641412702034)"
100,Health Facility,Clinic,Chunga HF,ZamStats,{0E7D296E-C6EF-4229-8820-A12E4877ACDE},Chunga HF,Central,101,Mumbwa,101009,-15.04771,26.00284,2010,"c(26.0028399999661, -15.0477100000164)"
101,Health Facility,Clinic,Chankwaka HF,ZamStats,{69FD61F1-92AB-477D-9129-8E6609246C4A},Chankwaka HF,Central,101,Mumbwa,101009,-15.0272800004,26.8818699997,2010,"c(26.8818699997008, -15.0272800003717)"
102,Health Facility,Clinic,Mine HF,ZamStats,{DC204F09-E70A-45AC-92CB-544493419047},Mine HF,Central,101,Mumbwa,101009,-15.3034400003,27.5567599996,2010,"c(27.5567599995744, -15.3034400002558)"
103,Health Facility,Clinic,Mobile Clinic,ZamStats,{812BEDAA-3C98-41A4-929B-379F0B25CE18},Mobile Clinic,Central,101,Mumbwa,101009,-15.1772899996,27.5032699997,2010,"c(27.5032699997108, -15.1772899996337)"
104,Health Facility,Clinic,Nkomba HF,ZamStats,{F7250A41-16BC-4F76-981A-F6859B8E5FBC},Nkomba HF,Muchinga,106,Shiwang'Andu,106007,-11.3220401897,31.9645975401,2010,"c(31.9645975401444, -11.3220401897029)"
105,Health Facility,Health Post,Mukosokela HP,ZamStats,{95028181-79B7-4EE7-92BA-7A2A4ACF16D1},Mukosokela HP,Muchinga,106,Shiwang'Andu,106007,-11.54767994,31.5930399298,2010,"c(31.5930399298489, -11.5476799399772)"
106,Health Facility,Health Post,Chinku HP,ZamStats,{9382163D-0CFA-4D1D-A452-04A6AFC8EB4D},Chinku HP,Muchinga,106,Shiwang'Andu,106007,-10.8657168999,32.0351460901,2010,"c(32.03514609012, -10.865716899915)"
107,Health Facility,Health Post,Labani HP,ZamStats,{F247718D-CA07-415C-9647-852A80718093},Labani HP,Muchinga,106,Chinsali,106002,-10.8162234396,32.0796696702,2010,"c(32.0796696702192, -10.81622343956)"
108,Health Facility,Health Post,Kabungo HP,ZamStats,{0E5AED81-C284-49D4-A2DC-9ED242EFFF00},Kabungo HP,Muchinga,106,Chinsali,106002,-10.5595105496,32.0299332202,2010,"c(32.029933220242, -10.5595105495722)"
109,Health Facility,Rural Health Center,Mulakupikw  RHC,ZamStats,{AF56EF54-3ED8-4038-893B-82717F504644},Mulakupikw  RHC,Muchinga,106,Chinsali,106002,-10.61107912,32.2110438497,2010,"c(32.211043849694, -10.6110791200053)"
110,Health Facility,Clinic,Tazama HF,ZamStats,{07B52138-FFF4-4D0B-AE5A-84095F1BD267},Tazama HF,Muchinga,106,Chinsali,106002,-10.6606580798,32.1147631104,2010,"c(32.1147631104292, -10.6606580798065)"
111,Health Facility,Health Post,Tongotongo HP,ZamStats,{548D00B4-A67A-4FEF-B46D-6D5E124B76D4},Tongotongo HP,Muchinga,106,Chinsali,106002,-9.99798698961,32.2697452499,2010,"c(32.2697452499434, -9.99798698960785)"
